Session,Class_Label,Location,Band,Grand_ERD,SD_betweenSubs,N_subjects
E,Feet,C1,beta,-7.327340983024691,13.19047391129555,9
E,Feet,C1,mu,-8.425130657407408,31.91351842672028,9
E,Feet,C2,beta,-7.043362228395062,13.485269236369165,9
E,Feet,C2,mu,-8.523337955246914,26.535335251206412,9
E,Feet,C3,beta,-4.530310853395062,10.122057274721476,9
E,Feet,C3,mu,-3.4048373533950618,35.621664848921085,9
E,Feet,C4,beta,-4.970393660493826,11.509551446124105,9
E,Feet,C4,mu,-1.7431188811728373,28.53263624780531,9
E,Feet,C5,beta,-6.512446700617283,10.843573769669684,9
E,Feet,C5,mu,-10.237716459876541,30.291344444112717,9
E,Feet,C6,beta,-6.5125905447530865,9.60783564728486,9
E,Feet,C6,mu,-2.7436926620370374,25.495955927022315,9
E,Feet,CP1,beta,-9.310815842592591,15.727093596885659,9
E,Feet,CP1,mu,-5.752017566358024,30.877854963734524,9
E,Feet,CP2,beta,-10.274417162037038,15.731432348566276,9
E,Feet,CP2,mu,-5.370285311728396,26.60631778654072,9
E,Feet,CP3,beta,-7.116184800925925,13.604071177215223,9
E,Feet,CP3,mu,-1.854742516975307,32.69668392039581,9
E,Feet,CP4,beta,-8.137043686728395,13.651575185614448,9
E,Feet,CP4,mu,0.8643360848765427,31.229301233371398,9
E,Feet,CPz,beta,-10.353572554012345,16.205380529237146,9
E,Feet,CPz,mu,-5.689034234567902,29.98733820393534,9
E,Feet,Ch23,beta,-9.995024827160496,26.875881617529007,9
E,Feet,Ch23,mu,-17.22412427314815,72.48579524172601,9
E,Feet,Ch24,beta,16.293013853395077,97.96156725244329,9
E,Feet,Ch24,mu,-8.676632342592594,76.86596629096059,9
E,Feet,Ch25,beta,20.88894830246914,110.308467102665,9
E,Feet,Ch25,mu,1.225902009259271,103.04961270126856,9
E,Feet,Cz,beta,-9.063676054012346,14.665034608236972,9
E,Feet,Cz,mu,-9.699533172839507,29.397692080072606,9
E,Feet,FC1,beta,-5.164623933641975,11.783881126356405,9
E,Feet,FC1,mu,-12.941295788580247,29.97290385430605,9
E,Feet,FC2,beta,-4.704059387345679,11.770307604118564,9
E,Feet,FC2,mu,-13.790569254629629,27.032051737644206,9
E,Feet,FC3,beta,-4.4899430339506186,9.266405948561943,9
E,Feet,FC3,mu,-14.108197648148145,30.106220292398532,9
E,Feet,FC4,beta,-5.354373697530864,10.33915161612679,9
E,Feet,FC4,mu,-13.649230645061728,24.547447994593632,9
E,Feet,FCz,beta,-5.26359386574074,11.600275140438773,9
E,Feet,FCz,mu,-12.526307328703705,29.78869632179833,9
E,Feet,Fz,beta,-3.001723239197531,10.16379754500568,9
E,Feet,Fz,mu,-15.936748814814814,28.449576693521745,9
E,Feet,P1,beta,-12.084235305555556,17.69712644164517,9
E,Feet,P1,mu,-9.0525287191358,27.766350859484945,9
E,Feet,P2,beta,-13.510715038580246,18.752466900277337,9
E,Feet,P2,mu,-5.6544806774691345,31.276713397596804,9
E,Feet,POz,beta,-13.163157033950617,19.043135522744592,9
E,Feet,POz,mu,-7.708137300925926,33.6233565034969,9
E,Feet,Pz,beta,-11.543349927469137,18.140630626710394,9
E,Feet,Pz,mu,-5.514640151234567,29.81124699518683,9
E,Left_Hand,C1,beta,-7.38079912037037,12.753697495231773,9
E,Left_Hand,C1,mu,-12.5664890154321,29.783990135925084,9
E,Left_Hand,C2,beta,-8.25071335648148,12.81943530790414,9
E,Left_Hand,C2,mu,-11.034170066358024,24.206437171073695,9
E,Left_Hand,C3,beta,-5.474355932098765,11.109587357892593,9
E,Left_Hand,C3,mu,-9.103351716049382,30.633257231313873,9
E,Left_Hand,C4,beta,-6.109723521604938,10.553144104111256,9
E,Left_Hand,C4,mu,-5.4965009290123445,22.97806787181569,9
E,Left_Hand,C5,beta,-7.051287807098766,11.214127720856576,9
E,Left_Hand,C5,mu,-13.838608177469133,29.503803129080154,9
E,Left_Hand,C6,beta,-6.405835408950617,10.663209355501058,9
